Ret.Time, min	Absolute Intensity, A.U.	Relative Intensity
13.500	6310	0.03
13.506	6307	0.03
13.511	6069	0.03
13.517	5792	0.03
13.522	6389	0.03
13.528	6545	0.03
13.533	5763	0.03
13.539	5895	0.03
13.544	6083	0.03
13.550	6015	0.03
13.555	5971	0.03
13.561	6131	0.03
13.566	5775	0.03
13.572	5805	0.03
13.577	6217	0.03
13.583	6338	0.03
13.588	6366	0.03
13.594	5605	0.03
13.599	5884	0.03
13.605	6060	0.03
13.610	6207	0.03
13.616	6253	0.03
13.621	6086	0.03
13.627	5968	0.03
13.632	6009	0.03
13.638	6159	0.03
13.643	6086	0.03
13.649	6076	0.03
13.654	6363	0.03
13.660	5143	0.03
13.665	6083	0.03
13.671	6165	0.03
13.676	5643	0.03
13.682	5663	0.03
13.687	6291	0.03
13.693	5526	0.03
13.698	6016	0.03
13.704	6384	0.03
13.709	5829	0.03
13.715	6186	0.03
13.720	5704	0.03
13.726	5460	0.03
13.731	6135	0.03
13.737	5861	0.03
13.742	5792	0.03
13.748	5995	0.03
13.753	5845	0.03
13.759	6244	0.03
13.764	6447	0.03
13.770	5384	0.03
13.775	6045	0.03
13.781	5609	0.03
13.786	6350	0.03
13.792	6120	0.03
13.797	5416	0.03
13.803	5668	0.03
13.808	6068	0.03
13.814	5677	0.03
13.819	6456	0.03
13.825	6024	0.03
13.830	6323	0.03
13.836	6101	0.03
13.841	5715	0.03
13.847	5819	0.03
13.852	5957	0.03
13.858	6354	0.03
13.863	5873	0.03
13.869	6227	0.03
13.874	6013	0.03
13.880	5965	0.03
13.885	6034	0.03
13.891	6245	0.03
13.896	5973	0.03
13.902	5627	0.03
13.907	6015	0.03
13.913	5682	0.03
13.918	5607	0.03
13.924	6097	0.03
13.929	6220	0.03
13.935	5860	0.03
13.940	6319	0.03
13.946	5569	0.03
13.951	6043	0.03
13.957	6099	0.03
13.962	5673	0.03
13.968	6084	0.03
13.973	6133	0.03
13.979	6218	0.03
13.984	6220	0.03
13.990	5752	0.03
13.995	5587	0.03
14.001	6261	0.03
14.006	5765	0.03
14.012	5897	0.03
14.017	5538	0.03
14.023	5727	0.03
14.028	5721	0.03
14.034	5717	0.03
14.039	5791	0.03
14.045	6352	0.03
14.050	5986	0.03
14.056	6214	0.03
14.061	5265	0.03
14.067	6006	0.03
14.072	5724	0.03
14.078	5899	0.03
14.083	6315	0.03
14.089	5995	0.03
14.094	5911	0.03
14.100	5880	0.03
14.105	6367	0.03
14.111	6215	0.03
14.116	5400	0.03
14.122	5559	0.03
14.127	6149	0.03
14.133	5779	0.03
14.138	6120	0.03
14.144	6172	0.03
14.149	6214	0.03
14.155	5597	0.03
14.160	5939	0.03
14.166	6450	0.03
14.171	6000	0.03
14.177	5575	0.03
14.182	6147	0.03
14.188	6011	0.03
14.193	5489	0.03
14.199	5829	0.03
14.204	6285	0.03
14.210	5740	0.03
14.215	6097	0.03
14.221	5990	0.03
14.226	5925	0.03
14.232	5693	0.03
14.237	5840	0.03
14.243	5673	0.03
14.248	6080	0.03
14.254	6287	0.03
14.259	6209	0.03
14.265	5619	0.03
14.270	5704	0.03
14.276	5896	0.03
14.281	5836	0.03
14.287	6043	0.03
14.292	5634	0.03
