#Time,"P(t), Reactive, bar","P'(t), Reactive, bar/ms","P(t), Non-Reactive, bar"
-28.0200000,3.2363000,-0.1914300,3.2900000
-28.0100000,3.2379000,-0.0159550,3.2932000
-28.0000000,3.2347000,0.0638090,3.2932000
-27.9900000,3.2331000,-0.0478590,3.2916000
-27.9800000,3.2379000,0.0319050,3.2900000
-27.9700000,3.2379000,0.0000000,3.2900000
-27.9600000,3.2363000,-0.1914300,3.2884000
-27.9500000,3.2347000,-0.2392900,3.2884000
-27.9400000,3.2299000,-0.1116700,3.2884000
-27.9300000,3.2283000,-0.1435800,3.2884000
-27.9200000,3.2283000,0.0797630,3.2932000
-27.9100000,3.2315000,0.1116700,3.2964000
-27.9000000,3.2315000,0.1754800,3.2948000
-27.8900000,3.2347000,0.1276200,3.2932000
-27.8800000,3.2347000,0.1595300,3.2916000
-27.8700000,3.2363000,0.0797630,3.2884000
-27.8600000,3.2379000,0.0319040,3.2868000
-27.8500000,3.2379000,0.0478580,3.2852000
-27.8400000,3.2379000,-0.0478580,3.2852000
-27.8300000,3.2363000,0.0797630,3.2852000
-27.8200000,3.2379000,0.1435700,3.2820000
-27.8100000,3.2379000,0.1116700,3.2788000
-27.8000000,3.2427000,0.0319070,3.2788000
-27.7900000,3.2443000,0.1435700,3.2772000
-27.7800000,3.2411000,0.0478580,3.2788000
-27.7700000,3.2411000,0.1435700,3.2788000
-27.7600000,3.2443000,0.2871500,3.2788000
-27.7500000,3.2475000,0.3350100,3.2756000
-27.7400000,3.2538000,0.2552400,3.2788000
-27.7300000,3.2554000,0.1116700,3.2804000
-27.7200000,3.2554000,-0.0319040,3.2756000
-27.7100000,3.2538000,-0.0797640,3.2740000
-27.7000000,3.2507000,0.0478580,3.2709000
-27.6900000,3.2523000,0.0797620,3.2740000
-27.6800000,3.2538000,0.1435700,3.2740000
-27.6700000,3.2586000,0.0797630,3.2740000
-27.6600000,3.2586000,0.1754800,3.2725000
-27.6500000,3.2570000,0.0159530,3.2693000
-27.6400000,3.2570000,0.0797640,3.2677000
-27.6300000,3.2602000,0.0638100,3.2645000
-27.6200000,3.2602000,-0.0159530,3.2613000
-27.6100000,3.2618000,-0.0319070,3.2629000
-27.6000000,3.2586000,-0.0638130,3.2597000
-27.5900000,3.2554000,-0.2712000,3.2597000
-27.5800000,3.2570000,-0.2073900,3.2629000
-27.5700000,3.2538000,-0.2073900,3.2613000
-27.5600000,3.2491000,-0.3988200,3.2629000
-27.5500000,3.2475000,-0.2871500,3.2613000
-27.5400000,3.2427000,-0.2392900,3.2565000
-27.5300000,3.2395000,-0.1435700,3.2517000
-27.5200000,3.2411000,-0.0319070,3.2501000
-27.5100000,3.2395000,0.1116700,3.2469000
-27.5000000,3.2427000,-0.0159530,3.2517000
-27.4900000,3.2427000,-0.0159500,3.2533000
-27.4800000,3.2427000,-0.1435700,3.2517000
-27.4700000,3.2395000,-0.1914300,3.2533000
-27.4600000,3.2363000,-0.2552400,3.2533000
-27.4500000,3.2347000,-0.0478590,3.2549000
-27.4400000,3.2331000,-0.1276200,3.2533000
-27.4300000,3.2331000,-0.0638120,3.2581000
-27.4200000,3.2363000,-0.0000005,3.2629000
-27.4100000,3.2315000,0.0957160,3.2613000
-27.4000000,3.2331000,0.0319060,3.2629000
-27.3900000,3.2347000,0.2712000,3.2629000
-27.3800000,3.2379000,0.1116700,3.2597000
-27.3700000,3.2411000,0.1435800,3.2629000
-27.3600000,3.2427000,0.2233400,3.2613000
-27.3500000,3.2395000,0.1276200,3.2645000
-27.3400000,3.2427000,0.0957160,3.2677000
-27.3300000,3.2475000,0.2073900,3.2693000
-27.3200000,3.2475000,0.2073900,3.2709000
-27.3100000,3.2491000,0.0797640,3.2740000
-27.3000000,3.2491000,0.0478580,3.2709000
-27.2900000,3.2507000,-0.0319070,3.2693000
-27.2800000,3.2507000,0.0478570,3.2725000
-27.2700000,3.2491000,0.0957160,3.2740000
-27.2600000,3.2491000,0.0957160,3.2740000
-27.2500000,3.2523000,0.0478590,3.2756000
-27.2400000,3.2554000,0.2233400,3.2788000
