,690K,,728K,,759K,,854K,,866K,,899K
-5.0898,27.913,-6.8005,16.324,-6.9052,14.705,-5.595,14.307,-5.6006,13.938,-6.8,9.2743
-4.993,28.493,-6.7006,16.627,-6.8676,14.814,-5.5,14.687,-5.5097,14.294,-6.7022,9.4975
-4.8377,29.481,-6.602,16.945,-6.7694,15.108,-5.3999,15.105,-5.5,14.333,-6.6598,9.6006
-4.8,29.729,-6.5066,17.243,-6.6878,15.355,-5.3004,15.521,-5.4037,14.701,-6.5927,9.7664
-4.7103,30.312,-6.5,17.264,-6.5918,15.647,-5.2308,15.814,-5.3003,15.112,-6.5,9.9813
-4.607,30.997,-6.3993,17.606,-6.5,15.94,-5.1003,16.402,-5.2344,15.397,-6.3999,10.213
-4.5035,31.704,-6.2971,17.969,-6.4002,16.265,-5,16.881,-5.1621,15.725,-6.2998,10.457
-4.4289,32.22,-6.1886,18.332,-6.3022,16.582,-4.8991,17.384,-5.087,16.081,-6.1023,10.991
-4.3555,32.733,-6.0905,18.672,-6.2264,16.848,-4.7983,17.919,-5,16.5,-6,11.287
-4.2803,33.263,-6,19.014,-6.1033,17.301,-4.5908,19.12,-4.8999,16.963,-5.9011,11.601
-4.1879,33.913,-5.8999,19.412,-6.0741,17.405,-4.5,19.687,-4.8005,17.455,-5.8037,11.92
-4.0958,34.572,-5.7937,19.84,-6,17.671,-4.4002,20.339,-4.73,17.841,-5.778,11.998
-4,35.254,-5.6899,20.272,-5.8993,18.057,-4.3011,21.001,-4.6824,18.108,-5.6787,12.302
-3.9,35.978,-5.589,20.702,-5.7958,18.471,-4.2014,21.695,-4.5477,18.889,-5.5932,12.574
-3.8019,36.672,-5.5,21.092,-5.6998,18.87,-4.1261,22.262,-4.5,19.181,-5.5,12.903
-3.7296,37.179,-5.3999,21.557,-5.5996,19.286,-4.0919,22.526,-4.4009,19.818,-5.408,13.253
-3.6688,37.618,-5.3,22.027,-5.5001,19.731,-4,23.251,-4.3046,20.445,-5.3627,13.43
-3.5919,38.19,-5.2001,22.507,-5.5,19.731,-3.9009,24.048,-4.2035,21.12,-5.2866,13.735
-3.4958,38.915,-5.1061,22.986,-5.4006,20.207,-3.8612,24.386,-4.1636,21.406,-5.1978,14.095
-3.3994,39.626,-5.02,23.423,-5.3002,20.689,-3.7939,24.975,-4.0045,22.62,-5.0995,14.501
-3.3008,40.286,-5,23.526,-5.2001,21.183,-3.6987,25.828,-4,22.656,-5.0002,14.946
-3.2,40.975,-4.9001,24.062,-5.1022,21.671,-3.5998,26.719,-3.9033,23.414,-5,14.946
-3.0992,41.669,-4.8002,24.627,-5.0057,22.162,-3.5038,27.6,-3.7996,24.272,-4.9008,15.437
-2.9999,42.356,-4.7006,25.196,-5,22.191,-3.5,27.636,-3.7,25.126,-4.8576,15.647
-2.9001,43.039,-4.6008,25.8,-4.9015,22.735,-3.4,28.632,-3.6069,25.952,-4.7881,15.99
-2.8002,43.694,-4.5065,26.366,-4.8615,22.97,-3.3146,29.501,-3.5886,26.115,-4.694,16.458
-2.7018,44.325,-4.5,26.406,-4.7556,23.603,-3.2187,30.44,-3.5,26.908,-4.5958,16.986
-2.6184,44.801,-4.3263,27.52,-4.6665,24.135,-3.1282,31.262,-3.4017,27.889,-4.5,17.55
-2.5044,45.47,-4.1923,28.446,-4.586,24.618,-3.0864,31.665,-3.3543,28.368,-4.4007,18.176
-2.4491,45.774,-4.0973,29.135,-4.5,25.171,-3,32.625,-3.2891,29.03,-4.3557,18.461
-2.4,46.046,-4,29.853,-4.401,25.85,-2.9001,33.803,-3.1678,30.163,-4.2689,19.03
-2.3002,46.533,-3.9002,30.607,-4.3486,26.204,-2.8691,34.101,-3.0932,30.914,-4.1561,19.81
-2.2002,46.973,-3.802,31.342,-4.1999,27.253,-2.7967,34.817,-3,31.854,-4.0692,20.441
-2.1009,47.379,-3.7105,32.041,-4.1081,27.95,-2.6998,35.883,-2.8998,32.939,-4,20.964
-2.0001,47.839,-3.6551,32.474,-4.0126,28.702,-2.6001,37.014,-2.7979,34.051,-3.9021,21.77
-1.9004,48.242,-3.5726,33.129,-4,28.804,-2.5422,37.643,-2.7,35.069,-3.8647,22.08
-1.8146,48.539,-3.5,33.717,-3.9001,29.586,-2.5,38.113,-2.517,37.064,-3.7905,22.71
-1.7543,48.699,-3.4,34.509,-3.8026,30.352,-2.4,39.276,-2.5,37.26,-3.6905,23.578
-1.6551,48.924,-3.2151,35.869,-3.7001,31.2,-2.3041,40.308,-2.4001,38.504,-3.5969,24.431
-1.6,49.041,-3.174,36.216,-3.6021,31.992,-2.2874,40.469,-2.3763,38.77,-3.5,25.345
-1.4997,49.258,-3.0873,36.996,-3.5572,32.383,-2.1999,41.286,-2.2996,39.649,-3.4106,26.274
-1.3005,49.454,-3,37.755,-3.5,32.894,-2.1002,42.137,-2.1999,40.616,-3.3692,26.71
-1.1793,49.488,-2.907,38.45,-3.4009,33.749,-2.0427,42.688,-2.0999,41.498,-3.2952,27.508
-1.0637,49.606,-2.8058,39.221,-3.3826,33.885,-2,43.105,-2.0001,42.419,-3.1999,28.504
-0.90686,49.741,-2.7,40.047,-3.2966,34.528,-1.902,44.185,-2,42.421,-3.1026,29.467
-0.80116,49.737,-2.612,40.689,-3.1953,35.349,-1.8892,44.302,-1.9019,43.478,-3.0693,29.793
-0.8,49.737,-2.5054,41.485,-3.0001,37.113,-1.7999,45.097,-1.8088,44.454,-3,30.487
-0.69495,49.739,-2.5,41.526,-3,37.113,-1.7002,45.77,-1.7779,44.717,-2.902,31.606
-0.5188,49.825,-2.4004,42.339,-2.9047,37.935,-1.6194,46.362,-1.6813,45.454,-2.8241,32.565
-0.40075,49.863,-2.36,42.647,-2.8518,38.395,-1.5023,47.236,-1.5679,46.301,-2.7884,33.008
-0.20705,49.845,-2.2888,43.185,-2.7861,38.969,-1.5,47.253,-1.5,46.855,-2.6999,34.082
-0.09893,49.852,-2.1985,43.798,-2.6967,39.737,-1.4028,47.788,-1.4,47.675,-2.5978,35.217
0,49.867,-2.0987,44.426,-2.5997,40.538,-1.2983,48.221,-1.3001,48.232,-2.5,36.347
0.10016,49.859,-2.0005,45.079,-2.5,41.337,-1.2001,48.592,-1.2008,48.533,-2.4052,37.486
0.20662,49.824,-2,45.083,-2.5,41.337,-1.1,48.935,-1.1223,48.823,-2.3507,38.158
0.32799,49.799,-1.8999,45.754,-2.3981,42.171,-1.0067,49.084,-1.0015,49.205,-2.2779,39.062
0.51236,49.808,-1.8,46.302,-2.3001,42.996,-1,49.094,-1,49.21,-2.1963,40.053
0.78566,49.771,-1.6997,46.78,-2.2058,43.665,-0.90006,49.117,-0.9001,49.387,-2.0997,41.054
0.8,49.767,-1.5957,47.302,-2.1001,44.432,-0.8001,49.26,-0.80061,49.47,-2.0028,41.991
0.9031,49.745,-1.5,47.8,-2,45.201,-0.70126,49.498,-0.69889,49.603,-2,42.019
1.0931,49.734,-1.4001,48.287,-1.9007,45.862,-0.60093,49.605,-0.59971,49.775,-1.9054,43.095
1.2002,49.708,-1.313,48.594,-1.8449,46.161,-0.50143,49.623,-0.5,49.816,-1.8614,43.598
1.4045,49.671,-1.2768,48.69,-1.7568,46.621,-0.5,49.623,-0.39965,49.793,-1.7985,44.326
1.6,49.649,-1.1047,49.066,-1.6692,47.082,-0.38857,49.667,-0.28985,49.841,-1.6997,45.177
1.7035,49.63,-1.0013,49.325,-1.5749,47.611,-0.20003,49.733,-0.10826,49.967,-1.6,45.888
1.8963,49.616,-1,49.328,-1.5,48.032,-0.09982,49.844,-0.0003,50.021,-1.5082,46.753
2.1089,49.569,-0.89311,49.45,-1.4018,48.431,0,49.914,0,50.021,-1.5,46.832
2.2986,49.531,-0.79346,49.446,-1.3005,48.68,0.10047,49.885,0.10006,50.021,-1.4004,47.731
2.4,49.527,-0.65936,49.553,-1.1973,48.957,0.20222,49.821,0.22099,49.969,-1.3542,47.953
2.5991,49.506,-0.53047,49.7,-1.0988,49.29,0.33972,49.811,0.39247,49.92,-1.2749,48.302
2.7042,49.501,-0.5,49.73,-1,49.484,0.5,49.751,0.5,49.876,-1.1987,48.573
2.8264,49.469,-0.39991,49.747,-0.89999,49.48,0.79652,49.641,0.60032,49.786,-1.098,49.009
2.9999,49.443,-0.25722,49.723,-0.8,49.524,1,49.594,0.70016,49.762,-1,49.303
3.1026,49.439,-0.15226,49.764,-0.70098,49.68,1.1123,49.55,0.80059,49.786,-0.8999,49.399
3.2,49.425,-0.00826,49.85,-0.60173,49.735,1.2995,49.415,0.98539,49.705,-0.79987,49.47
3.3328,49.408,0,49.854,-0.50178,49.727,1.4006,49.386,1,49.696,-0.69998,49.645
3.4963,49.385,0.10141,49.842,-0.5,49.726,1.5,49.363,1.1149,49.643,-0.59995,49.755
3.6002,49.367,0.30232,49.788,-0.3732,49.767,1.6028,49.304,1.2998,49.488,-0.5,49.762
3.7336,49.361,0.5,49.796,-0.22041,49.814,1.7307,49.218,1.3996,49.44,-0.30023,49.866
3.8921,49.333,0.69777,49.743,-0.10037,49.853,1.9298,49.16,1.5,49.405,-0.10087,49.945
3.9999,49.305,0.8024,49.709,0,49.907,2,49.14,1.6047,49.355,-0.0021,50.022
4,49.305,0.95102,49.72,0.10471,49.87,2.2999,49.038,1.8,49.275,0,50.024
4.1214,49.304,1,49.73,0.30018,49.857,2.4001,48.97,1.9193,49.214,0.10106,50.003
4.3,49.272,1.1027,49.713,0.41633,49.848,2.5,48.93,2,49.157,0.20442,49.941
4.454,49.265,1.3023,49.663,0.5,49.821,2.6005,48.907,2.1048,49.09,0.30671,49.859
4.6003,49.246,1.4738,49.609,0.60035,49.772,2.7157,48.86,2.2283,49.037,0.4998,49.866
4.7234,49.219,1.5,49.602,0.87631,49.739,2.8996,48.772,2.4013,48.969,0.5,49.866
4.8,49.21,1.6726,49.558,0.99473,49.744,3,48.744,2.5,48.929,0.60092,49.813
4.9714,49.227,1.8031,49.524,1,49.744,3.2004,48.693,2.6999,48.859,0.79684,49.654
5.1991,49.178,1.9881,49.531,1.1022,49.712,3.3163,48.651,2.8106,48.777,0.90766,49.589
5.3017,49.163,2,49.533,1.2079,49.657,3.4983,48.626,2.9301,48.718,1,49.541
5.4635,49.153,2.1113,49.51,1.4995,49.605,3.5,48.626,3,48.714,1.1002,49.515
5.6,49.141,2.2989,49.43,1.5,49.605,3.6037,48.569,3.1053,48.694,1.2132,49.439
5.8169,49.124,2.4015,49.418,1.7001,49.551,3.8122,48.5,3.2998,48.599,1.3537,49.326
6.0005,49.105,2.5,49.41,1.8062,49.505,4,48.459,3.4646,48.547,1.4998,49.277
6.3901,49.052,2.6023,49.392,2,49.48,4.1899,48.386,3.5,48.535,1.5,49.277
6.4,49.051,2.7039,49.356,2.1986,49.431,4.3219,48.321,3.6986,48.495,1.6363,49.199
6.5025,49.051,2.8886,49.345,2.3003,49.395,4.4882,48.262,3.8008,48.477,1.7999,49.041
6.6903,49.021,2.9994,49.32,2.4261,49.386,4.5,48.259,3.9012,48.432,1.8997,49.035
6.8308,49.006,3,49.32,2.5,49.386,4.6575,48.21,4,48.409,2,49.022
7.0989,48.979,3.1004,49.324,2.6796,49.342,4.7606,48.168,4.1162,48.374,2.1137,48.948
7.2,48.979,3.2972,49.296,2.8117,49.303,4.9002,48.094,4.3646,48.288,2.2878,48.832
7.4009,48.961,3.4183,49.275,2.9362,49.285,5,48.066,4.5,48.249,2.4006,48.762
7.5644,48.947,3.5,49.259,3,49.288,5.1106,48.028,4.623,48.22,2.5,48.693
7.6957,48.943,3.6729,49.225,3.1014,49.27,5.2536,47.975,4.998,48.119,2.6005,48.655
7.8321,48.925,3.7969,49.21,3.2983,49.209,5.5,47.907,5,48.119,2.7073,48.627
8,48.918,3.9001,49.214,3.3999,49.213,5.7005,47.825,5.1215,48.072,2.8949,48.503
8.218,48.924,4,49.198,3.5,49.186,5.8026,47.787,5.2986,48.023,3,48.455
8.5002,48.911,4.1691,49.161,3.6007,49.151,6,47.744,5.4008,48.005,3.1032,48.435
8.603,48.925,4.3,49.141,3.7171,49.149,6.1215,47.712,5.5,47.955,3.2958,48.333
8.7991,48.921,4.4001,49.153,3.8846,49.138,6.4333,47.63,5.6022,47.921,3.3998,48.288
8.8,48.921,4.5,49.133,3.9997,49.12,6.5,47.608,5.7973,47.888,3.5,48.269
9.001,48.9,4.6947,49.101,4,49.12,6.8897,47.508,5.9996,47.809,3.6543,48.189
9.116,48.903,4.8141,49.1,4.1222,49.084,7,47.468,6,47.809,3.8005,48.139
9.2848,48.888,5,49.072,4.3015,49.04,7.2,47.414,6.1054,47.786,4,48.078
9.4042,48.89,5.2002,49.036,4.497,49.027,7.3048,47.418,6.225,47.774,4.1021,48.04
9.6,48.885,5.3544,49.031,4.5,49.027,7.499,47.334,6.3985,47.703,4.2995,47.986
9.8014,48.875,5.5,49,4.6991,49.019,7.5,47.334,6.5,47.68,4.4001,47.924
9.9105,48.886,5.6925,48.989,4.7996,48.984,7.6046,47.312,6.7918,47.614,4.5,47.888
10.4,48.878,5.8194,48.97,4.9043,48.961,7.7937,47.287,6.9022,47.579,4.7097,47.823
10.602,48.864,6,48.936,5,48.948,8,47.222,7,47.535,4.9273,47.747
10.728,48.854,6.2998,48.904,5.1927,48.927,8.2003,47.174,7.1072,47.502,5,47.729
10.999,48.853,6.5,48.863,5.4002,48.882,8.3996,47.158,7.2975,47.486,5.1027,47.698
11.2,48.824,6.607,48.858,5.5,48.869,8.5,47.121,7.4388,47.445,5.2288,47.639
11.318,48.833,6.7996,48.831,5.6008,48.839,8.698,47.068,7.5,47.425,5.3994,47.554
11.5,48.796,6.975,48.811,5.8016,48.817,8.8018,47.046,7.6462,47.397,5.5,47.529
11.6,48.789,7,48.807,6,48.795,8.9763,47.008,7.8918,47.349,5.61,47.508
11.809,48.788,7.1044,48.806,6.2069,48.771,9,47.004,8,47.331,5.8847,47.41
12,48.792,7.2984,48.768,6.4071,48.722,9.1619,46.956,8.101,47.325,6,47.361
12,48.792,7.4496,48.769,6.5,48.743,9.3986,46.909,8.291,47.288,6.2009,47.325
12.114,48.775,7.5,48.767,6.7071,48.707,9.5,46.893,8.4106,47.279,6.3901,47.246
12.299,48.76,7.7797,48.721,6.9704,48.646,9.8061,46.828,8.5,47.265,6.5,47.205
12.437,48.752,7.9045,48.716,7,48.638,9.9068,46.793,8.6098,47.252,6.6023,47.187
12.6,48.753,8,48.727,7.3008,48.621,10,46.788,8.7995,47.226,6.8342,47.116
12.708,48.745,8.1118,48.72,7.5,48.591,10.113,46.769,8.9009,47.204,7,47.063
12.8,48.732,8.298,48.68,7.6015,48.56,10.301,46.725,9,47.199,7.4994,46.926
12.999,48.703,8.3999,48.684,7.8,48.565,10.497,46.678,9.2024,47.155,7.5,46.926
13.128,48.695,8.5,48.68,7.9025,48.542,10.5,46.678,9.3703,47.145,7.6068,46.913
13.375,48.674,8.701,48.655,8,48.513,10.612,46.659,9.5,47.122,7.7948,46.846
13.6,48.671,8.8617,48.644,8.1081,48.504,10.799,46.62,9.6998,47.084,7.9,46.814
13.714,48.648,8.9961,48.624,8.2946,48.479,10.9,46.599,9.901,47.029,8,46.803
13.864,48.613,9,48.624,8.4006,48.461,11,46.605,10,47.018,8.1039,46.771
14.001,48.618,9.1071,48.606,8.5,48.448,11.192,46.551,10.108,47,8.312,46.694
14.158,48.622,9.233,48.58,8.6088,48.43,11.301,46.521,10.409,46.929,8.5,46.65
14.273,48.592,9.3979,48.584,8.8519,48.404,11.468,46.493,10.5,46.909,8.6323,46.631
14.398,48.568,9.5,48.564,9,48.383,11.5,46.49,10.647,46.864,8.8007,46.586
14.4,48.568,9.6034,48.548,9.2008,48.349,11.647,46.478,10.799,46.844,8.9992,46.522
14.594,48.561,9.7468,48.527,9.4103,48.33,12,46.376,10.901,46.817,9,46.522
14.797,48.543,10,48.489,9.5,48.314,12.118,46.361,11,46.785,9.2013,46.486
15.1,48.536,10.2,48.461,9.6998,48.284,12.295,46.356,11.298,46.726,9.3059,46.439
15.2,48.511,10.401,48.453,9.8942,48.251,12.4,46.334,11.4,46.709,9.4994,46.406
15.401,48.472,10.5,48.429,10,48.25,12.5,46.309,11.5,46.666,9.5,46.406
15.503,48.462,10.607,48.422,10,48.25,12.6,46.268,11.609,46.644,9.7025,46.358
15.614,48.484,10.794,48.407,10.116,48.228,12.756,46.246,11.8,46.629,9.8981,46.285
15.801,48.433,11,48.386,10.298,48.19,12.905,46.226,12,46.586,10,46.267
16,48.44,11.203,48.347,10.406,48.185,13,46.216,12.112,46.572,10.192,46.228
16.365,48.404,11.351,48.339,10.5,48.173,13.2,46.19,12.4,46.505,10.3,46.221
16.499,48.387,11.499,48.296,10.831,48.126,13.31,46.162,12.5,46.494,10.402,46.197
16.702,48.373,11.5,48.295,10.993,48.114,13.43,46.129,12.673,46.483,10.5,46.146
16.8,48.363,11.655,48.309,11,48.113,13.5,46.118,12.9,46.414,10.6,46.106
16.901,48.37,11.8,48.276,11.152,48.087,13.704,46.098,13,46.377,10.801,46.083
17.093,48.34,11.9,48.264,11.4,48.066,13.895,46.054,13.14,46.351,10.997,46.021
17.2,48.338,12,48.268,11.5,48.058,14,46.021,13.465,46.296,11,46.02
17.304,48.345,12.185,48.261,11.612,48.021,14.105,46.016,13.5,46.281,11.2,45.98
17.505,48.33,12.301,48.236,11.787,47.991,14.245,46.009,13.61,46.257,11.397,45.941
17.6,48.313,12.5,48.17,11.902,47.985,14.402,45.97,13.791,46.234,11.5,45.911
17.703,48.303,12.5,48.17,12,47.969,14.5,45.935,13.9,46.239,11.63,45.869
17.901,48.296,12.632,48.163,12.183,47.944,14.606,45.909,14,46.218,11.793,45.838
18.095,48.285,13,48.154,12.3,47.935,14.906,45.892,14.105,46.189,12,45.803
18.293,48.272,13.302,48.119,12.403,47.913,15,45.868,14.238,46.141,12.109,45.774
18.4,48.247,13.447,48.11,12.5,47.888,15.207,45.822,14.494,46.097,12.37,45.725
18.517,48.235,13.5,48.099,12.628,47.871,15.445,45.783,14.5,46.096,12.5,45.69
18.7,48.236,13.605,48.067,12.8,47.863,15.5,45.772,14.617,46.072,12.615,45.667
18.801,48.236,13.775,48.046,12.944,47.853,15.669,45.74,14.799,46.054,12.796,45.651
18.91,48.212,13.9,48.033,13,47.846,15.8,45.701,15,46.001,12.916,45.612
19.2,48.197,14,48.029,13.129,47.817,15.91,45.7,15.208,45.968,13,45.589
19.498,48.183,14.155,48.015,13.298,47.8,16,45.691,15.4,45.938,13.102,45.549
19.6,48.169,14.3,47.99,13.4,47.804,16.188,45.654,15.5,45.912,13.4,45.51
19.724,48.159,14.404,47.967,13.5,47.787,16.3,45.631,15.687,45.881,13.5,45.488
20,48.138,14.5,47.963,13.702,47.736,16.487,45.613,15.803,45.87,13.702,45.42
20,48.138,14.681,47.945,13.897,47.715,16.5,45.611,16,45.834,13.861,45.396
20.3,48.124,14.8,47.928,14,47.715,16.699,45.596,16.117,45.808,14,45.387
20.409,48.127,14.9,47.924,14.303,47.668,16.8,45.585,16.253,45.791,14.101,45.353
20.598,48.09,15,47.936,14.473,47.644,16.99,45.538,16.39,45.767,14.35,45.314
20.7,48.086,15.102,47.92,14.5,47.644,17,45.535,16.5,45.761,14.5,45.298
20.8,48.089,15.229,47.89,14.609,47.646,17.105,45.525,16.608,45.728,14.604,45.269
20.999,48.089,15.397,47.874,14.718,47.621,17.294,45.511,16.79,45.695,14.786,45.238
21.101,48.061,15.5,47.874,14.836,47.565,17.401,45.48,16.905,45.688,15,45.198
21.204,48.055,15.606,47.864,14.916,47.557,17.5,45.47,17,45.688,15.12,45.162
21.4,48.072,15.797,47.824,15,47.585,17.604,45.475,17.114,45.659,15.399,45.126
21.6,48.051,16,47.812,15.101,47.589,17.791,45.442,17.28,45.633,15.5,45.104
21.808,48.05,16,47.812,15.218,47.576,18,45.405,17.5,45.621,15.697,45.066
21.994,48.034,16.292,47.793,15.4,47.539,18,45.405,17.632,45.585,15.8,45.032
22.103,48.012,16.4,47.777,15.5,47.539,18.122,45.394,17.789,45.574,16,44.999
22.297,48.012,16.5,47.769,15.701,47.526,18.301,45.38,17.997,45.533,16.397,44.912
22.4,48.009,16.601,47.754,15.903,47.497,18.466,45.365,18,45.533,16.5,44.9
22.568,48.01,16.794,47.769,16,47.493,18.5,45.36,18.198,45.522,16.6,44.9
22.699,47.995,17,47.715,16.2,47.464,18.602,45.335,18.301,45.512,16.715,44.872
22.808,47.995,17.195,47.7,16.302,47.455,18.8,45.301,18.406,45.484,16.898,44.824
23.015,47.987,17.388,47.71,16.498,47.41,18.92,45.281,18.5,45.45,17,44.818
23.2,47.978,17.5,47.7,16.5,47.41,19,45.281,18.646,45.445,17.121,44.797
23.4,47.974,17.5,47.7,16.607,47.401,19.138,45.265,18.8,45.414,17.5,44.72
23.503,47.957,17.602,47.677,16.8,47.384,19.3,45.246,18.92,45.404,17.5,44.719
23.693,47.95,17.726,47.67,16.982,47.351,19.5,45.216,19,45.404,17.605,44.713
23.8,47.932,17.9,47.646,17,47.347,19.5,45.216,19.201,45.373,17.8,44.66
23.932,47.921,18,47.638,17.5,47.326,19.614,45.206,19.5,45.317,17.911,44.648
24,47.919,18.169,47.624,17.609,47.304,19.887,45.188,19.9,45.25,18,44.643
24.207,47.917,18.301,47.611,17.799,47.293,20,45.167,20,45.24,18.216,44.607
24.398,47.891,18.442,47.601,17.916,47.283,20.116,45.14,20.2,45.209,18.395,44.563
24.6,47.898,18.5,47.592,18,47.272,20.299,45.137,20.328,45.197,18.5,44.562
24.733,47.89,18.603,47.596,18.199,47.235,20.4,45.117,20.5,45.173,18.5,44.562
24.8,47.874,18.758,47.585,18.299,47.247,20.5,45.092,20.5,45.173,18.623,44.55
24.916,47.868,19,47.55,18.4,47.248,20.691,45.083,20.693,45.158,18.997,44.481
25.097,47.857,19,47.55,18.5,47.219,20.802,45.072,20.9,45.128,19,44.481
25.202,47.853,19.156,47.544,18.624,47.198,20.911,45.055,21,45.122,19.117,44.47
25.363,47.838,19.304,47.542,18.991,47.174,21,45.033,21.133,45.104,19.338,44.407
25.506,47.835,19.5,47.508,19,47.173,21.2,45.014,21.402,45.066,19.5,44.395
25.6,47.825,19.5,47.508,19.189,47.138,21.371,45.002,21.5,45.056,19.616,44.381
25.78,47.816,19.679,47.476,19.4,47.136,21.5,44.974,21.7,45.046,19.792,44.338
26,47.815,19.9,47.473,19.5,47.124,21.603,44.959,21.801,45.021,19.899,44.325
26.167,47.799,20,47.492,19.701,47.107,21.796,44.955,21.951,45.003,20,44.325
26.34,47.802,20.1,47.489,19.814,47.09,21.906,44.944,22,45.001,20.11,44.308
26.4,47.808,20.294,47.425,20,47.087,22,44.93,22.2,45.001,20.305,44.292
26.579,47.798,20.401,47.432,20,47.087,22.204,44.89,22.4,44.94,20.5,44.266
26.7,47.763,20.5,47.443,20.128,47.061,22.308,44.872,22.5,44.935,20.692,44.22
26.8,47.753,20.699,47.431,20.367,47.054,22.498,44.876,22.764,44.905,20.804,44.202
26.907,47.76,20.808,47.399,20.486,47.033,22.5,44.876,22.902,44.879,20.982,44.198
27.096,47.75,20.933,47.382,20.5,47.029,22.705,44.856,23,44.864,21,44.196
27.2,47.746,21,47.382,20.613,47.007,22.899,44.832,23.106,44.86,21.103,44.175
27.303,47.759,21.201,47.374,20.8,46.988,23,44.803,23.3,44.859,21.399,44.132
27.628,47.717,21.321,47.358,20.908,47.005,23.105,44.783,23.408,44.847,21.5,44.121
27.813,47.731,21.5,47.359,21,47.009,23.28,44.772,23.5,44.824,21.623,44.091
27.992,47.7,21.68,47.344,21.198,46.964,23.4,44.739,23.616,44.81,21.8,44.068
28,47.697,21.795,47.351,21.3,46.951,23.5,44.729,23.759,44.813,21.914,44.039
28.107,47.685,21.901,47.336,21.418,46.964,23.696,44.734,23.899,44.784,22,44.026
28.3,47.708,22,47.336,21.5,46.964,23.805,44.719,24,44.774,22.2,43.999
28.4,47.677,NaN,NaN,21.609,46.942,24,44.7,NaN,NaN,22.31,43.993
28.587,47.676,NaN,NaN,21.799,46.919,NaN,NaN,NaN,NaN,22.5,43.973
28.703,47.666,NaN,NaN,21.9,46.906,NaN,NaN,NaN,NaN,22.799,43.951
28.8,47.659,NaN,NaN,22,46.906,NaN,NaN,NaN,NaN,23,43.93
28.903,47.646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.057,47.642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.2,47.635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.322,47.638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.501,47.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.6,47.632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.79,47.626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.9,47.608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.002,47.608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.197,47.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.301,47.584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.4,47.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.505,47.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.64,47.595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.8,47.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.927,47.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.1,47.577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.2,47.553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.4,47.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.524,47.538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.701,47.513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.802,47.533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,47.502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.203,47.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.376,47.478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.5,47.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.609,47.479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.787,47.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.8,47.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.929,47.459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.1,47.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.224,47.438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.584,47.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.6,47.417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.8,47.413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.198,47.403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
