,690K,,729K,,742K,,761K,,777K,,797K,,815K,,840K,,867K,,893K
-20.494,4.9776,-21,3.9963,-21.2,3.7703,-21.094,3.4788,-21,3.2683,-21,2.9937,-21.746,2.7123,-20.714,2.5321,-20.401,2.2785,-20.8,2.049
-20.394,4.9997,-20.9,4.0154,-21.105,3.784,-21,3.5074,-20.9,3.2764,-20.9,3.0033,-21.603,2.7376,-20.618,2.5503,-20.359,2.2884,-20.701,2.0601
-20.298,5.0179,-20.8,4.033,-21.071,3.7833,-20.9,3.5409,-20.8,3.2907,-20.8,3.024,-21.564,2.741,-20.578,2.5555,-20.284,2.3067,-20.601,2.0571
-20.2,5.021,-20.6,4.0616,-21,3.7799,-20.8,3.5585,-20.602,3.3128,-20.64,3.0393,-21.5,2.7461,-20.5,2.5617,-20.2,2.3297,-20.5,2.0522
-20.1,5.0434,-20.5,4.0712,-20.898,3.7849,-20.7,3.5664,-20.501,3.3273,-20.588,3.0448,-21.4,2.7573,-20.4,2.5681,-20.097,2.3423,-20.5,2.0522
-20,5.0737,-20.5,4.0712,-20.798,3.7946,-20.6,3.5808,-20.5,3.3274,-20.5,3.0575,-21.3,2.7525,-20.3,2.5649,-20,2.3392,-20.406,2.0702
-19.899,5.1025,-20.399,4.0953,-20.7,3.815,-20.504,3.5762,-20.4,3.3258,-20.4,3.0655,-21.201,2.7398,-20.2,2.5713,-19.9,2.3424,-20.373,2.0757
-19.8,5.1263,-20.297,4.1164,-20.607,3.876,-20.5,3.576,-20.3,3.3338,-20.304,3.0808,-21.152,2.7504,-20.113,2.5908,-19.8,2.352,-20.3,2.0873
-19.7,5.1343,-20.196,4.1326,-20.511,3.8861,-20.4,3.5697,-20.2,3.3688,-20.224,3.0899,-21.056,2.7725,-20.076,2.5963,-19.7,2.3711,-20.2,2.0921
-19.6,5.147,-20.099,4.1511,-20.5,3.8868,-20.302,3.593,-20.108,3.3894,-20.1,3.0974,-21,2.786,-20,2.6048,-19.608,2.393,-20.1,2.0921
-19.5,5.1694,-20,4.1638,-20.4,3.8693,-20.199,3.6145,-20.049,3.401,-20,3.0974,-20.9,2.7956,-19.9,2.6192,-19.508,2.3965,-20,2.0937
-19.4,5.2108,-19.901,4.1844,-20.333,3.8821,-20.099,3.6352,-20,3.4104,-20,3.0974,-20.8,2.8083,-19.8,2.6175,-19.5,2.3966,-19.912,2.1105
-19.3,5.2491,-19.8,4.2037,-20.203,3.9055,-20,3.6494,-19.9,3.431,-19.9,3.1038,-20.7,2.8147,-19.705,2.6327,-19.4,2.3918,-19.8,2.1336
-19.201,5.2713,-19.701,4.2179,-20.096,3.9258,-19.895,3.6662,-19.8,3.4326,-19.8,3.1181,-20.598,2.8228,-19.671,2.6408,-19.305,2.3994,-19.7,2.1288
-19.108,5.2979,-19.665,4.2301,-20,3.9442,-19.8,3.6829,-19.7,3.4326,-19.74,3.1352,-20.5,2.8322,-19.589,2.6609,-19.2,2.4189,-19.639,2.1327
-19.039,5.3138,-19.579,4.2594,-19.9,3.9554,-19.699,3.6878,-19.602,3.453,-19.676,3.1534,-20.375,2.8463,-19.5,2.6766,-19.101,2.4395,-19.554,2.1418
-19,5.3225,-19.5,4.2834,-19.8,3.9506,-19.595,3.7064,-19.501,3.4788,-19.594,3.1752,-20.249,2.8611,-19.4,2.6862,-19.001,2.454,-19.5,2.1496
-18.9,5.3418,-19.386,4.308,-19.7,3.9681,-19.5,3.7292,-19.5,3.4789,-19.5,3.1931,-20.169,2.8738,-19.3,2.6846,-19,2.454,-19.4,2.1575
-18.8,5.3705,-19.266,4.3265,-19.606,3.9937,-19.4,3.75,-19.4,3.4965,-19.382,3.2063,-20.083,2.8908,-19.2,2.6973,-18.9,2.4588,-19.332,2.1716
-18.7,5.3912,-19.16,4.343,-19.513,4.0216,-19.3,3.777,-19.301,3.5218,-19.2,3.2267,-20,2.9041,-19.101,2.7178,-18.802,2.4713,-19.278,2.1814
-18.6,5.4229,-19.001,4.3695,-19.5,4.0256,-19.2,3.7978,-19.203,3.5437,-19.1,3.2314,-19.901,2.9151,-19.002,2.7337,-18.784,2.4753,-19.198,2.1924
-18.5,5.4614,-19,4.3696,-19.4,4.0527,-19.101,3.8168,-19.12,3.5571,-19.001,3.2536,-19.801,2.9216,-19,2.734,-18.696,2.4959,-19.099,2.1847
-18.397,5.4941,-18.9,4.3919,-19.3,4.0815,-19.046,3.8349,-19,3.5762,-19,3.2538,-19.74,2.9283,-18.9,2.7388,-18.598,2.5069,-19,2.1847
-18.3,5.5236,-18.8,4.4094,-19.2,4.0974,-19,3.8505,-19,3.5762,-18.901,3.2887,-19.658,2.9415,-18.803,2.7512,-18.5,2.5147,-18.9,2.2101
