,"690 K",,"728 K",,"759 K",,"854 K",,"866 K",,"899 K"
-14.40000000,7.64420000,-14.40000000,6.17700000,-14.40000000,5.46790000,-12.40000000,4.44170000,-12.40000000,4.34270000,-13.40000000,3.40610000
-14.30000000,7.72710000,-14.30000000,6.22800000,-14.30000000,5.52530000,-12.30000000,4.51030000,-12.30000000,4.37780000,-13.30000000,3.44120000
-14.20000000,7.80050000,-14.20000000,6.28230000,-14.20000000,5.58440000,-12.20000000,4.57090000,-12.20000000,4.43840000,-13.20000000,3.48750000
-14.10000000,7.87230000,-14.10000000,6.33010000,-14.10000000,5.62580000,-12.10000000,4.60440000,-12.10000000,4.47830000,-13.10000000,3.53690000
-14.00000000,7.93770000,-14.00000000,6.40190000,-14.00000000,5.65290000,-12.00000000,4.65390000,-12.00000000,4.52290000,-13.00000000,3.55610000
-13.90000000,8.00310000,-13.90000000,6.45620000,-13.90000000,5.69440000,-11.90000000,4.70020000,-11.90000000,4.57560000,-12.90000000,3.58320000
-13.80000000,8.09240000,-13.80000000,6.51360000,-13.80000000,5.75190000,-11.80000000,4.73370000,-11.80000000,4.62660000,-12.80000000,3.63580000
-13.70000000,8.16100000,-13.70000000,6.58860000,-13.70000000,5.80450000,-11.70000000,4.78630000,-11.70000000,4.69040000,-12.70000000,3.66610000
-13.60000000,8.22960000,-13.60000000,6.64760000,-13.60000000,5.85550000,-11.60000000,4.82460000,-11.60000000,4.72710000,-12.60000000,3.69960000
-13.50000000,8.31100000,-13.50000000,6.71140000,-13.50000000,5.91620000,-11.50000000,4.89160000,-11.50000000,4.76540000,-12.50000000,3.75230000
-13.40000000,8.39390000,-13.40000000,6.77040000,-13.40000000,5.97520000,-11.40000000,4.98250000,-11.40000000,4.83560000,-12.40000000,3.80020000
-13.30000000,8.48490000,-13.30000000,6.82150000,-13.30000000,6.04860000,-11.30000000,5.05110000,-11.30000000,4.91540000,-12.30000000,3.82730000
-13.20000000,8.55830000,-13.20000000,6.88690000,-13.20000000,6.10440000,-11.20000000,5.11970000,-11.20000000,4.99040000,-12.20000000,3.87350000
-13.10000000,8.62690000,-13.10000000,6.96820000,-13.10000000,6.15550000,-11.10000000,5.16760000,-11.10000000,5.06690000,-12.10000000,3.94050000
-13.00000000,8.71140000,-13.00000000,7.03680000,-13.00000000,6.22570000,-11.00000000,5.22980000,-11.00000000,5.11800000,-12.00000000,3.98200000
-12.90000000,8.80390000,-12.90000000,7.10540000,-12.90000000,6.28950000,-10.90000000,5.30640000,-10.90000000,5.14830000,-11.90000000,4.01070000
-12.80000000,8.89960000,-12.80000000,7.18840000,-12.80000000,6.34850000,-10.80000000,5.36860000,-10.80000000,5.23920000,-11.80000000,4.06980000
-12.70000000,8.99860000,-12.70000000,7.26340000,-12.70000000,6.41550000,-10.70000000,5.44990000,-10.70000000,5.32860000,-11.70000000,4.12880000
-12.60000000,9.08790000,-12.60000000,7.33200000,-12.60000000,6.48730000,-10.60000000,5.51690000,-10.60000000,5.39400000,-11.60000000,4.17980000
-12.50000000,9.17080000,-12.50000000,7.38300000,-12.50000000,6.56230000,-10.50000000,5.58550000,-10.50000000,5.48170000,-11.50000000,4.23890000
-12.40000000,9.28410000,-12.40000000,7.46600000,-12.40000000,6.64840000,-10.40000000,5.69080000,-10.40000000,5.55350000,-11.40000000,4.26760000
-12.30000000,9.39580000,-12.30000000,7.57120000,-12.30000000,6.72660000,-10.30000000,5.77860000,-10.30000000,5.62690000,-11.30000000,4.32180000
-12.20000000,9.48990000,-12.20000000,7.65420000,-12.20000000,6.79990000,-10.20000000,5.85670000,-10.20000000,5.71620000,-11.20000000,4.38880000
-12.10000000,9.58080000,-12.10000000,7.72600000,-12.10000000,6.87490000,-10.10000000,5.92370000,-10.10000000,5.80080000,-11.10000000,4.44300000
-12.00000000,9.68770000,-12.00000000,7.80730000,-12.00000000,6.93400000,-10.00000000,6.00510000,-10.00000000,5.89010000,-11.00000000,4.49410000
-11.90000000,9.80580000,-11.90000000,7.90310000,-11.90000000,7.00250000,-9.90000000,6.10560000,-9.90000000,5.98100000,-10.90000000,4.53400000
-11.80000000,9.91100000,-11.80000000,8.00360000,-11.80000000,7.09990000,-9.80000000,6.19330000,-9.80000000,6.07830000,-10.80000000,4.60100000
-11.70000000,10.01800000,-11.70000000,8.07850000,-11.70000000,7.18120000,-9.70000000,6.28900000,-9.70000000,6.17090000,-10.70000000,4.67440000
-11.60000000,10.13400000,-11.60000000,8.14870000,-11.60000000,7.26420000,-9.60000000,6.40070000,-9.60000000,6.23630000,-10.60000000,4.74930000
-11.50000000,10.25900000,-11.50000000,8.23010000,-11.50000000,7.36150000,-9.50000000,6.50120000,-9.50000000,6.33200000,-10.50000000,4.82270000
-11.40000000,10.37200000,-11.40000000,8.33700000,-11.40000000,7.43650000,-9.40000000,6.59210000,-9.40000000,6.45960000,-10.40000000,4.88490000
-11.30000000,10.48100000,-11.30000000,8.46300000,-11.30000000,7.50820000,-9.30000000,6.71980000,-9.30000000,6.56330000,-10.30000000,4.94400000
-11.20000000,10.61800000,-11.20000000,8.56350000,-11.20000000,7.60400000,-9.20000000,6.82670000,-9.20000000,6.65580000,-10.20000000,5.01100000
-11.10000000,10.74700000,-11.10000000,8.66720000,-11.10000000,7.70770000,-9.10000000,6.92240000,-9.10000000,6.75950000,-10.10000000,5.07480000
-11.00000000,10.84900000,-11.00000000,8.76130000,-11.00000000,7.79540000,-9.00000000,7.03080000,-9.00000000,6.88390000,-10.00000000,5.14980000
-10.90000000,10.96900000,-10.90000000,8.85070000,-10.90000000,7.88790000,-8.90000000,7.13930000,-8.90000000,7.00680000,-9.90000000,5.23430000
-10.80000000,11.11100000,-10.80000000,8.96710000,-10.80000000,8.00600000,-8.80000000,7.27490000,-8.80000000,7.11210000,-9.80000000,5.33160000
-10.70000000,11.26700000,-10.70000000,9.08990000,-10.70000000,8.11920000,-8.70000000,7.39940000,-8.70000000,7.24130000,-9.70000000,5.43370000
-10.60000000,11.41200000,-10.60000000,9.20320000,-10.60000000,8.21340000,-8.60000000,7.51900000,-8.60000000,7.37050000,-9.60000000,5.52460000
-10.50000000,11.53800000,-10.50000000,9.32600000,-10.50000000,8.32500000,-8.50000000,7.65940000,-8.50000000,7.50130000,-9.50000000,5.60120000
-10.40000000,11.67400000,-10.40000000,9.44730000,-10.40000000,8.44470000,-8.40000000,7.79820000,-8.40000000,7.64330000,-9.40000000,5.67780000
