Time       Trigger  Sample
-0.00117    0.10    6.44
-0.00116    0.10    6.44
-0.00115    0.12    6.44
-0.00114    0.10    6.44
-0.00113    0.10    6.44
-0.00112    0.10    6.48
-0.00111    0.10    6.48
-0.00110    0.12    6.48
-0.00109    0.10    6.48
-0.00108    0.10    6.44
-0.00107    0.08    6.44
-0.00106    0.12    6.48
-0.00105    0.10    6.48
-0.00104    0.10    6.48
-0.00103    0.12    6.44
-0.00102    0.12    6.44
-0.00101    0.08    6.44
-0.00100    0.10    6.48
-0.00099    0.10    6.48
-0.00098    0.10    6.44
-0.00097    0.10    6.44
-0.00096    0.10    6.44
-0.00095    0.10    6.44
-0.00094    0.10    6.48
-0.00093    0.10    6.44
-0.00092    0.10    6.48
-0.00091    0.10    6.44
-0.00090    0.10    6.44
-0.00089    0.10    6.44
-0.00088    0.10    6.44
-0.00087    0.10    6.44
-0.00086    0.10    6.44
-0.00085    0.10    6.44
-0.00084    0.10    6.44
-0.00083    0.10    6.44
-0.00082    0.10    6.44
-0.00081    0.16    6.44
-0.00080    0.12    6.44
-0.00079    0.10    6.44
-0.00078    0.10    6.44
-0.00077    0.10    6.48
-0.00076    0.10    6.44
-0.00075    0.10    6.44
-0.00074    0.10    6.44
-0.00073    0.10    6.44
-0.00072    0.10    6.44
-0.00071    0.10    6.48
-0.00070    0.10    6.44
-0.00069    0.08    6.48
-0.00068    0.08    6.48
-0.00067    0.12    6.44
-0.00066    0.10    6.44
-0.00065    0.10    6.48
-0.00064    0.10    6.44
-0.00063    0.10    6.44
-0.00062    0.16    6.44
-0.00061    0.10    6.44
-0.00060    0.12    6.44
-0.00059    0.10    6.48
-0.00058    0.10    6.44
-0.00057    0.12    6.48
-0.00056    0.12    6.48
-0.00055    0.08    6.44
-0.00054    0.10    6.48
-0.00053    0.10    6.44
-0.00052    0.10    6.44
-0.00051    0.10    6.44
-0.00050    0.10    6.44
-0.00049    0.10    6.44
-0.00048    0.10    6.44
-0.00047    0.10    6.44
-0.00046    0.10    6.44
-0.00045    0.10    6.44
-0.00044    0.10    6.48
-0.00043    0.12    6.44
-0.00042    0.10    6.44
-0.00041    0.10    6.44
-0.00040    0.10    6.44
-0.00039    0.10    6.44
-0.00038    0.10    6.48
-0.00037    0.10    6.44
-0.00036    0.06    6.44
-0.00035    0.10    6.44
-0.00034    0.10    6.44
-0.00033    0.10    6.44
-0.00032    0.10    6.44
-0.00031    0.10    6.44
-0.00030    0.10    6.44
-0.00029    0.10    6.44
-0.00028    0.10    6.44
-0.00027    0.10    6.44
-0.00026    0.12    6.44
-0.00025    0.12    6.44
-0.00024    0.08    6.44
-0.00023    0.12    6.44
-0.00022    0.10    6.44
-0.00021    0.10    6.44
-0.00020    0.10    6.48
-0.00019    0.10    6.48
-0.00018    0.10    6.44
-0.00017    0.08    6.48
-0.00016    0.12    6.44
